MRI Path | Mode | Threshold,mode,threshold,Jaccard Index,Dice,Precision,Recall,Mean of Mean,Std of Mean,Mean of Std,Std of Std,Mean of Pval,Std of Pval
"84.nii.gz | mode: stat, threshold: 0.05",stat,0.05,2.949808999858557e-12,2.949808999858557e-12,1.0,2.94980901684172e-12,0.4855469763278961,0.009159193374216557,0.07945758104324341,0.029955318197607994,-0.7365710735321045,0.3141104280948639
"78.nii.gz | mode: stat, threshold: 0.05",stat,0.05,1.9627817327791167e-12,1.9627817327791167e-12,1.0,1.9627817166717465e-12,0.48515334725379944,0.0028212538454681635,0.06428785622119904,0.021155618131160736,-0.9671390056610107,0.22424344718456268
"82.nii.gz | mode: stat, threshold: 0.05",stat,0.05,0.00017164819955904455,0.00034323747929254563,0.01117861457169056,0.00017429457511752844,0.48509812355041504,0.011875014752149582,0.07426683604717255,0.019257497042417526,-0.8453200459480286,0.4693203866481781
"9.nii.gz | mode: stat, threshold: 0.05",stat,0.05,3.766762091292125e-12,3.766762091292125e-12,3.205128162875326e-09,3.771194294344138e-12,0.4853854477405548,0.00855266023427248,0.07448066771030426,0.02718653343617916,-0.8391233682632446,0.3702406585216522
"58.nii.gz | mode: stat, threshold: 0.05",stat,0.05,9.183832780688385e-12,9.183832780688385e-12,1.0,9.183832513914858e-12,0.4851881265640259,0.007916237227618694,0.07006795704364777,0.019634898751974106,-0.8565620183944702,0.3302564322948456
"8.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0009308768582854639,0.0018600222593631636,0.007405121810734272,0.0010635873768478632,0.4853804409503937,0.012750322930514812,0.07675565779209137,0.02910795621573925,-0.7977404594421387,0.4651170074939728
"95.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0017015710993174618,0.0033973613435949366,0.25868725776672363,0.0017099088290706277,0.4853142201900482,0.008286221884191036,0.07374885678291321,0.025450855493545532,-0.8463954329490662,0.31936413049697876
"68.nii.gz | mode: stat, threshold: 0.1",stat,0.1,1.4607069821580383e-11,1.4607069821580383e-11,1.0,1.460706902656206e-11,0.48515576124191284,0.003336356021463871,0.06981348246335983,0.01651722751557827,-0.887503445148468,0.24748532474040985
"77.nii.gz | mode: stat, threshold: 0.1",stat,0.1,2.657108162894927e-12,2.657108162894927e-12,1.0,2.6571082573784155e-12,0.4853377640247345,0.008671742863953114,0.07021310925483704,0.0210739616304636,-0.8255696296691895,0.28152957558631897
"60.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0014219848585382353,0.002839931375116083,0.030462127178907394,0.0014893924817442894,0.48498499393463135,0.009791528806090355,0.06799963116645813,0.020003998652100563,-0.9472970366477966,0.328554630279541
"91.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0005283302971335739,0.001056102620990479,0.01036753598600626,0.0005563900340348482,0.48516926169395447,0.009842406027019024,0.07309859246015549,0.025746960192918777,-0.8879563212394714,0.3418625295162201
"76.nii.gz | mode: stat, threshold: 0.1",stat,0.1,3.4278388504282128e-12,3.4278388504282128e-12,1.0,3.4278387420205725e-12,0.4851880371570587,0.008719629608094692,0.06680575013160706,0.01975647546350956,-0.8782516717910767,0.3231714069843292
"85.nii.gz | mode: stat, threshold: 0.1",stat,0.1,0.0015817330141099158,0.00315847016915238,0.01841142401099205,0.0017274025594815612,0.4852569103240967,0.010947835631668568,0.07625702023506165,0.028104647994041443,-0.8487296104431152,0.4034290015697479
